Date,Mkt-RF,SMB,HML,RF
2020-04-17,3.25,-1.79,-8.51,0.001
2020-04-24,-0.86,2.4,-1.97,0.001
2020-05-01,0.01,2.37,4.74,0.002
2020-05-08,4.24,2.18,-3.42,0.002
2020-05-15,-2.2,-1.14,-7.21,0.002
2020-05-22,3.59,3.28,3.91,0.002
2020-05-29,2.98,-1.16,3.6,0.002
2020-06-05,4.97,0.44,9.81,0.003
2020-06-12,-4.73,-1.24,-5.23,0.003
2020-06-19,2.29,1.33,-3.15,0.003
2020-06-26,-2.83,0.86,-4.16,0.003
2020-07-02,4.04,0.69,-1.67,0.003
2020-07-10,2.1,-1.87,-1.34,0.003
2020-07-17,1.2,1.82,2.41,0.003
2020-07-24,-0.31,-0.26,2.86,0.003
2020-07-31,1.73,-0.59,-2.62,0.003
2020-08-07,2.7,3.37,1.61,0.002
2020-08-14,0.74,0.19,1.77,0.002
2020-08-21,0.86,-1.62,-5.2,0.002
2020-08-28,3.19,-1.44,0.9,0.002
2020-09-04,-2.47,-0.88,2.29,0.002
2020-09-11,-2.58,-0.1,-1.39,0.002
2020-09-18,0.01,2.75,-0.92,0.002
2020-09-25,-0.62,-2.92,-4.24,0.002
2020-10-02,1.85,2.98,1.75,0.002
2020-10-09,4.25,2.55,-0.21,0.002
2020-10-16,0.31,0.09,-0.52,0.002
2020-10-23,-0.51,0.7,3.07,0.002
2020-10-30,-5.74,-0.96,0.07,0.002
2020-11-06,7.69,0.14,-4.96,0.002
2020-11-13,1.95,2.25,7.27,0.002
2020-11-20,0.17,2.56,0.51,0.002
2020-11-27,2.86,1.28,1.29,0.002
2020-12-04,1.76,0.46,0.32,0.002
2020-12-11,-0.48,1.91,-1.6,0.002
2020-12-18,1.84,2.03,-3.54,0.002
2020-12-24,0.15,1.35,0.1,0.002
2020-12-31,0.72,-2.18,1.1,0.002
2021-01-08,2.52,3.59,2.28,0.001
2021-01-15,-1.03,2.33,2.15,0.001
2021-01-22,2.08,1.83,-3.01,0.001
2021-01-29,-3.48,0.06,0.78,0.001
2021-02-05,5.27,2.06,-2.01,0.001
2021-02-12,1.63,1.92,1.01,0.001
2021-02-19,-0.82,-1.34,3.1,0.001
2021-02-26,-3.15,-0.7,4.91,0.001
2021-03-05,0.07,-1.47,7.61,0.001
2021-03-12,3.36,4.68,1.59,0.001
2021-03-19,-1.04,-1.38,-0.37,0.001
2021-03-26,0.57,-4.11,0.17,0.001
2021-04-01,1.39,0.48,-1.59,0.0
2021-04-09,2.45,-2.6,-1.29,0.0
2021-04-16,1.32,-0.97,-0.02,0.0
2021-04-23,-0.1,0.72,-0.78,0.0
2021-04-30,-0.11,-0.7,1.36,0.0
2021-05-07,0.53,-1.25,6.35,0.0
2021-05-14,-1.55,-0.83,2.46,0.0
2021-05-21,-0.17,0.63,-1.08,0.0
2021-05-28,1.49,1.27,-0.75,0.0
2021-06-04,0.51,0.1,1.62,0.0
2021-06-11,0.82,2.11,-3.96,0.0
2021-06-18,-1.81,-0.86,-4.97,0.0
2021-06-25,2.97,1.19,0.99,0.0
2021-07-02,1.28,-2.38,-1.63,0.001
2021-07-09,0.2,-0.82,-1.15,0.001
2021-07-16,-1.73,-3.0,0.04,0.001
2021-07-23,2.29,0.33,-2.35,0.001
2021-07-30,-0.45,0.56,2.06,0.001
2021-08-06,1.05,-0.03,0.71,0.001
2021-08-13,0.51,-1.83,2.34,0.001
2021-08-20,-1.04,-1.03,-1.47,0.001
2021-08-27,2.18,2.55,-0.21,0.001
2021-09-03,0.67,0.41,-2.65,0.001
2021-09-10,-1.72,-0.81,0.08,0.001
2021-09-17,-0.41,0.45,0.43,0.001
2021-09-24,0.52,-0.1,1.67,0.001
2021-10-01,-2.18,1.16,4.67,0.001
2021-10-08,0.67,-1.56,2.78,0.001
2021-10-15,1.93,-0.43,-1.77,0.001
2021-10-22,1.58,-0.81,1.02,0.001
2021-10-29,1.21,0.12,-2.99,0.001
2021-11-05,2.34,3.96,-0.39,0.001
2021-11-12,-0.26,-0.55,0.83,0.001
2021-11-19,-0.14,-1.77,-1.6,0.001
2021-11-26,-2.56,-2.26,2.63,0.001
2021-12-03,-2.18,-1.68,1.45,0.002
2021-12-10,3.52,-0.65,0.08,0.002
2021-12-17,-2.04,-0.48,-0.49,0.002
2021-12-23,2.46,1.32,-1.14,0.002
2021-12-31,0.54,-0.64,1.42,0.002
2022-01-07,-2.33,-3.19,10.85,0.0
2022-01-14,-0.43,-0.72,2.87,0.0
2022-01-21,-6.19,-1.9,0.99,0.0
2022-01-28,0.41,-1.78,1.41,0.0
2022-02-04,2.05,-0.49,0.2,0.001
2022-02-11,-1.27,1.91,1.43,0.001
2022-02-18,-1.69,1.06,0.4,0.001
2022-02-25,0.91,0.4,-1.3,0.001
2022-03-04,-1.71,-0.39,2.14,0.001
2022-03-11,-2.86,1.51,2.18,0.001
